"Sexo","Edades","Largos","Pesos","HCraneo"
1,0,47.45,3.37,35.16
1,0,48.7,3.19,36.65
1,0,51.74,3.48,37.06
1,0,49.63,3.41,38.07
1,0,50.66,4.01,35.98
1,0,55.02,3.26,34.77
1,0,50.93,4.11,34.27
1,0,54.39,4,37.02
1,0,49.07,3.67,36.33
1,0,48.17,3.84,35.86
1,0,47.3,3.12,38.3
1,0,47.33,3.11,33.19
1,0,46.5,3.41,36.4
1,0,48.82,3.7,32.97
1,0,49.71,3.16,37.2
1,0,52.72,3.44,36.35
1,0,51.23,4.32,36.64
1,0,54.3,3.6,36.68
1,0,51.44,3.81,37.45
1,0,52.2,3.05,34.42
1,0,47.76,3.02,34.45
1,0,52.13,3.58,34.4
1,0,51.47,3.74,36.47
1,0,46.21,4.05,36.31
1,0,50,2.62,34.94
1,0,50.99,3.69,37.03
1,0,51.52,2.96,35.76
1,0,52.37,3.79,35.57
1,0,46.73,3.04,35.96
1,0,52.29,3.53,36.42
1,0,51.29,3.28,34.71
1,0,54.68,4.04,36.93
1,0,47.17,3.71,33.76
1,0,51.58,3.67,35.9
1,0,47.95,3.38,35.57
1,0,47.21,3.52,37.17
1,0,47.94,3.06,37.6
1,0,46.65,4.1,34.86
1,0,46.84,3.75,35.25
1,0,44.11,3.32,35.91
1,0,54.98,3.76,37.35
1,0,51.78,4.17,33.83
1,0,51.21,4.4,37.77
1,0,54.79,3.71,35.19
1,0,52.01,4.24,34.56
1,0,50.79,3.16,35.03
1,0,53.11,4.95,36.31
1,0,48.06,2.9,37.3
1,0,49.38,3.41,34.43
1,0,50.07,4.14,35.09
1,0,49.49,3.38,37.89
1,0,48.25,4.87,37.61
1,0,51.56,3.32,36.16
1,0,51.4,4.05,35.61
1,0,50.08,3.78,39.59
1,0,48.66,3.28,34.39
1,0,49.21,3.24,36.79
1,0,51.89,3.97,36.34
1,0,53.58,4.22,38.08
1,0,48.58,3.9,34.36
1,0,48.59,3.85,35.9
1,0,49.29,4.15,36.59
1,0,47.6,3.17,35.75
1,0,54.89,3.31,35.95
1,0,52.18,3.97,34.3
1,0,47.33,3.19,32.3
1,0,48.99,3.25,38.85
1,0,52.37,3.78,34.97
1,0,51.06,3.08,36.17
1,0,47.69,3.2,40.05
1,0,52.01,4.4,35.57
1,0,47.29,3.22,37.41
1,0,50.39,4.49,32.97
1,0,52.13,3.15,34.12
1,0,53.06,3.68,36.73
1,0,53.06,3.13,35.67
1,0,52.26,3.72,33.29
1,0,49.02,4.44,34.16
1,0,52.11,2.65,37.74
1,0,49.37,4.16,36.91
1,0,47.74,3.12,35.15
1,0,52.71,3.62,36.57
1,0,51.85,2.92,37.52
1,0,49.09,3.76,36.29
1,0,49.32,3.56,38.63
1,0,48.64,3.09,34.56
1,0,46.83,3.65,34.64
1,0,44.76,3.83,35.36
1,0,47.45,4.09,36.54
1,0,49.74,4.15,38.75
1,0,50.15,3.23,37.45
1,0,49.07,4.05,34.52
1,0,53.39,4.32,34.65
1,0,48.22,2.75,36.17
1,0,51.01,2.99,34.98
1,0,49.29,4.11,37.6
1,0,51.95,2.94,36.77
1,0,48.97,3.16,36.89
1,0,51.59,3.14,35.72
1,0,49.8,2.91,34.07
1,0,44.48,2.89,35.87
1,0,46.05,3.91,36.56
1,0,46.12,3.33,35.39
1,0,56.11,3.06,35.73
1,0,49.45,2.89,35.93
1,0,50.86,4.13,35.21
1,0,57.5,3.46,35.36
1,0,48.86,3.3,38.45
1,0,46.69,2.38,33.92
1,0,52.81,4.59,34.59
1,0,48.59,3.63,32.29
1,0,50.27,3.9,36.79
1,0,52.16,3.59,34.89
1,0,46.96,4.08,38.11
1,0,47.96,2.99,33.8
1,0,48.84,3.49,34.79
1,0,53.89,3.54,35.54
1,0,46.56,3.04,38.39
1,0,51.65,2.8,36.15
1,0,48.88,3.32,34.46
1,0,47.23,3.4,38.55
1,0,51.54,3.24,36.8
1,0,52.36,3.65,38.5
1,0,49.96,3.22,35.39
1,0,47.82,3.61,35.56
1,0,49.85,3.6,37.31
1,0,52.57,3.01,32.53
1,0,53.05,3.67,35.6
1,0,50.92,3.75,37.51
1,0,50.86,3.12,35.29
1,0,48.75,3.8,35.04
1,0,48.33,3.98,36.65
1,0,51.99,3.14,35.55
1,0,53.46,3.29,35.89
1,0,54.4,3.88,34.82
1,0,53.13,3.62,37.66
1,0,47.53,4.24,36.66
1,0,50.06,4.34,34.71
1,0,53.75,4.04,34.85
1,0,51.03,3.23,34.17
1,0,54.67,4.26,37.12
1,0,45.57,3.35,34.95
1,0,51.25,3.51,32.33
1,0,46.11,3.83,35.35
1,0,48.83,3.23,37.47
1,0,53.16,3.4,38.23
1,0,47.94,3.89,33.6
1,0,50.83,3.7,37.31
1,0,49.93,3.61,34.06
1,0,48.75,4.21,34.37
1,0,54.01,3.45,35.39
1,0,52.41,3.86,34.56
1,0,53.02,4.17,35.81
1,0,51.76,2.52,37.15
1,0,51.72,4.26,37.49
1,0,52.8,4.44,35.95
1,0,50.03,3.5,35.25
1,0,54.66,4.2,36.92
1,0,53.12,3.81,37.31
1,0,52.26,4.75,33.75
1,0,50.58,2.51,38.88
1,0,49.31,2.73,38.11
1,0,47.58,2.97,33.32
1,0,50.27,3.72,35.83
1,0,48.59,3.18,37.08
1,0,50.14,4.13,38.48
1,0,48.47,3.98,34.94
1,0,51.51,3.21,35.5
1,0,56.14,2.9,35.52
1,0,49.48,4.27,34.18
1,0,51.23,2.88,35.72
1,0,52.18,3.7,32.64
1,0,51.97,3.04,34.7
1,0,50.71,3.3,38.2
1,0,50.89,3.77,39.68
1,0,48.41,3.83,34.16
1,0,52.09,2.8,34
1,0,48.75,3.63,36.49
1,0,48.36,3.35,36.03
1,0,52.51,3.92,37.27
1,0,52.38,4.09,37.76
1,0,52.16,3.84,34.04
1,0,51.06,4.43,34.69
1,0,49.75,3.09,37.42
1,0,50.17,3.84,34.47
1,0,52.4,2.96,33.59
1,0,53.28,4.49,37.48
1,0,49.86,3.38,33.77
1,0,51.05,3.55,36.71
1,0,53.6,3.95,34.88
1,0,49.83,3.8,32.61
1,0,52.29,3.68,34.67
1,0,48.36,4.06,34.13
1,0,50.52,4.01,33.99
1,0,51.14,3.13,35.29
1,0,50.04,4.28,38.83
1,0,51.79,2.01,37.53
1,0,49.5,3.02,36.46
1,0,51.17,3.1,36.15
1,0,48.05,3.63,37.47
1,0,51.17,3.56,37.21
1,0,49.72,3.87,35.93
1,0,53.58,4.16,34.84
1,0,52.14,3.18,35.78
1,0,49.25,3.84,35.66
1,0,45.45,4.39,36.36
1,0,48.16,3.82,35.88
1,0,48.72,3.92,34.87
1,0,52.1,3.59,33.42
1,0,51.29,3.11,35.8
1,0,49.42,3.15,34.82
1,0,47.79,3.98,33.14
1,0,51.96,3.31,35.08
1,0,45.74,3.88,34.71
1,0,47.92,3.91,35.82
1,0,50.89,3.49,36.16
1,0,51.3,2.82,32.57
1,0,51.59,2.92,36.27
1,0,55.34,3.91,34.43
1,0,44.99,3.68,35.05
1,0,48.22,3.66,35.42
1,0,54.61,2.86,34.01
1,0,49.32,3.64,36.67
1,0,49.36,2.87,35.29
1,0,50.27,3.82,35.21
1,0,50.73,3.23,32.55
1,0,49.13,2.85,35.72
1,0,49.78,4.48,35.63
1,0,50.7,3,37.24
1,0,54.12,3.42,35.58
1,0,46.65,2.94,36.75
1,0,47.95,4.37,36.85
1,0,48.89,3.69,36.2
1,0,54.93,3.15,35.06
1,0,52.29,3.11,36.65
1,0,47.59,4.69,36.88
1,0,49.57,3.43,37.25
1,0,49.23,3.63,32.5
1,0,47.7,4.23,36.24
1,0,50.98,4.09,34.07
1,0,49.89,3.07,36.53
1,0,46.47,3.41,34.59
1,0,46.44,4.04,34.49
1,0,45.1,2.97,37.16
1,0,53.48,3.96,35.87
1,0,50.58,3.25,30.81
1,0,51.39,3.41,38.47
1,0,50.14,3.71,34.06
1,0,49.59,4.1,33.92
1,0,52.77,3.18,34.26
1,0,50.51,3.24,34.75
1,0,49.45,3.42,33.67
1,0,49.21,3.19,34.59
1,0,49.94,3.57,34.53
1,0,48.89,3.95,35.64
1,0,46.94,3.17,40.15
1,0,51.24,3.32,36.63
1,0,48.45,3.34,36.13
1,0,51.13,2.24,34.72
1,0,48.36,4.45,35.49
1,0,48.27,3.15,38.28
1,0,46.82,3.03,35.13
1,0,45.92,2.22,34.44
1,0,49.66,3.09,34.88
1,0,52.09,3.36,35.63
1,0,48.3,3.32,35.76
1,0,44.06,3.34,31.84
1,0,50.84,4.11,38.54
1,0,49.83,3.89,38.82
1,0,52.41,3.91,34.56
1,0,46.85,3.95,37.04
1,0,46.87,3.47,36.71
1,0,49.59,4.08,36.48
1,0,46.66,3.37,38
1,0,49.28,1.96,35.88
1,0,49.18,3.42,32.5
1,0,44.99,3.93,36.68
1,0,49.14,3.9,34.67
1,0,49.55,3.59,35.66
1,0,53.79,3.83,35.3
1,0,49.64,3.52,36.71
1,0,50.21,3.38,36.42
1,0,49.94,3.77,36.05
1,0,50.54,2.95,37.15
1,0,52.74,3.92,35.37
1,0,50.71,3.21,38.03
1,0,50.62,3.99,38.28
1,0,53.26,3.22,35.94
1,0,50.84,3.24,33.64
1,0,51.67,3.29,35.14
1,0,48.75,2.88,34.27
1,0,49.02,3.18,36.82
1,0,47.31,3.81,36.95
1,0,47.27,3.45,36.43
1,0,49.68,4.29,37.23
1,0,53.09,4.59,35.82
1,0,45.45,4.17,34.2
1,0,57.17,4.05,35.88
1,0,47.68,3.87,35.41
1,0,54.35,3.54,37.69
1,0,47.5,3.64,37.12
1,0,48.06,3.97,35.52
1,0,50.65,3.8,38.77
1,0,47.84,3.1,36.48
1,0,48.43,3.29,34.21
1,0,54.37,3.74,36.07
1,0,47.94,4.2,37.9
1,0,49.52,3.37,33.45
1,0,45.25,3.35,34.75
1,0,51.54,3.51,37.32
1,0,49.11,3.99,34.47
1,0,53.39,2.97,34.17
1,0,49.07,2.96,36.46
1,0,50.27,3.5,36.55
1,0,47.35,2.86,37.4
1,0,49.44,3.17,36.41
1,0,48.3,2.97,34.34
1,0,49.37,2.73,33.57
1,0,53.36,4.84,33.72
1,0,54.5,2.54,33.91
1,0,50.55,3.01,33.35
1,0,53.71,3.5,38.21
1,0,51.77,3.65,37.33
1,0,51.26,4.36,33.53
1,0,47.27,4.38,34.24
1,0,50.02,3.58,36.91
1,0,47.48,3.91,33.73
1,0,46.89,3.83,35.42
1,0,47.39,3.96,34.6
1,0,47.38,3.15,34.86
1,0,48.05,3.66,33.26
1,0,52.04,3.76,35.28
1,0,45.11,3.9,36.84
1,0,52.74,4.1,33.19
1,0,49.38,4.72,36.2
1,0,46.55,3.36,33.25
1,0,52.99,3.17,33.51
1,0,52.67,2.66,34.02
1,0,50.32,3.23,36.69
1,0,47.91,3.79,35.64
1,0,51.39,4.35,37.01
1,0,55.42,3.51,35.41
1,0,53.8,4.11,33.43
1,0,50.26,2.99,31.22
1,0,44.6,3.58,36.59
1,0,53.26,4.4,36.43
1,0,48.68,2.8,38.56
1,0,52.38,3.47,38.68
1,0,51.78,3.54,36.1
1,0,49.52,3.27,38.83
1,0,50.32,2.73,36.02
1,0,46.41,3.58,37.44
1,0,47.56,3.92,36.86
1,0,52.05,4.12,36.68
1,0,49.81,3.3,37.21
1,0,46.54,2.78,36.04
1,0,52.32,3.12,34.45
1,0,50.83,4.4,35.65
1,0,50.09,3.7,37.83
1,0,48.41,3.16,33.34
1,0,48.56,4.05,36.01
1,0,55.21,3.74,35.45
1,0,52.84,2.88,35.95
1,0,49.52,3.08,37.68
1,0,49.66,3.34,36.4
1,0,51.27,3.8,32.57
1,0,50.5,3.98,36.85
1,0,49.58,3.84,37.69
1,0,52.4,5.18,31.24
1,0,51.4,3.74,34.3
1,0,53.17,3.86,34.03
1,0,50.97,2.7,35.19
1,0,47.86,2.85,36.68
1,0,49.25,3.78,35.5
1,0,46.96,2.42,36.19
1,0,53.07,4.14,35.77
1,0,52.91,3.7,38.67
1,0,50.98,3.71,35.28
1,0,52.86,3.67,36.93
1,0,47.77,3.48,37.78
1,0,54.53,3.68,38.83
1,0,49.35,2.17,36.42
1,0,47.61,3.75,37.68
1,0,47.36,3.96,35.13
1,0,53.13,2.43,35.72
1,0,48.93,3.58,33.87
1,0,55.32,4.23,36.91
1,0,48.37,3.97,34.72
1,0,49,3.75,35.73
1,0,51.03,2.7,36.42
1,0,51.45,3.62,33.52
1,0,49.11,3.59,37.94
1,0,48.44,3.46,36.16
1,0,50.26,3.4,34.24
1,0,49.33,4.23,36.59
1,0,51.33,3.65,35.49
1,0,47.21,3.79,38.86
1,0,50.28,3.64,37.04
1,0,49.07,3.28,38.49
1,0,52.29,3.27,38.76
1,0,51.76,3.46,34.06
1,0,52.48,4.66,35.19
1,0,58.49,3.79,34.61
1,0,51.02,3.96,35.65
1,0,48.22,3.57,34.95
1,0,45.97,3.83,34.11
1,0,45.74,3.33,34.13
1,0,54.95,3.77,36.22
1,0,57.13,2.68,36.29
1,0,49.93,3.66,37.96
1,0,49.96,3.71,32.77
1,0,46.63,3.57,34.86
1,0,48.54,2.86,35.12
1,0,48.77,4.11,37.8
1,0,49.48,4.2,37.96
1,0,47.67,3.36,35.38
1,0,47.3,3.4,33.86
1,0,48.19,3.33,38.38
1,0,51,3.28,35.6
1,0,46.55,3.98,35.12
1,0,52.08,3.84,36.32
1,0,55.25,3.81,34.81
1,0,50.88,3.12,34.13
1,0,53.9,3.68,36.43
1,0,53.38,3.79,35.3
1,0,53.99,3.1,35.86
1,0,51.16,3.15,35.64
1,0,52.07,3.68,36.65
1,0,46.54,3.82,35.51
1,0,50.72,4.06,35.78
1,0,52.5,3.17,35.6
1,0,50.91,2.79,36.58
1,0,52.27,3.02,35
1,0,51,3.55,37.27
1,0,47.7,2.91,37.59
1,0,44.91,3.19,33.6
1,0,52.33,2.7,32.44
1,0,47.16,3.8,35.67
1,0,53.4,3.46,34.41
1,0,50.07,3.11,34.51
1,0,45.83,3.68,38.54
1,0,51.93,3.1,35.31
1,0,49.78,3.4,35.2
1,0,50.55,2.98,36.2
1,0,49.56,3.99,35.69
1,0,45.51,3.13,35.52
1,0,51.81,3.99,37.49
1,0,43.45,4.32,35.82
1,0,49.93,2.88,36.33
1,0,46.5,3.23,34.5
1,0,51.97,2.74,37.42
1,0,51.82,3.59,34.59
1,0,48,2.82,33.46
1,0,50.68,3.7,38.83
1,0,49.44,2.73,37.98
1,0,44.83,3.81,35.34
1,0,48.44,4.14,36.95
1,0,48.6,3.82,37.78
1,0,44.07,4.71,35.59
1,0,53.84,3.48,35.47
1,0,46.26,3.28,32.87
1,0,49.9,3.95,34.55
1,0,54.13,4.07,33.29
1,0,48.63,3.31,32.84
1,0,48.74,3.26,38.95
1,0,49.34,3.42,36.07
1,0,46.93,3.35,35.81
1,0,47.04,3.76,36.13
1,0,50.68,3.67,33.33
1,0,49.84,4.09,37.47
1,0,52.35,3.82,38.14
1,0,48.67,2.37,35.03
1,0,48.98,3.35,36.2
1,0,45.85,2.98,36.68
1,0,50.63,3.54,35.41
1,0,52.66,3.8,35.61
1,0,47.99,2.49,37.19
1,0,47.81,3.85,34.63
1,0,50.49,3.28,34.53
1,0,52.44,3.19,37.92
1,0,45.15,2.68,36.93
1,0,47.16,3.3,36.51
1,0,52.34,3.84,37.71
1,0,54.61,3.35,33.58
1,0,49.24,4.25,36.19
1,0,45.4,3.38,35.6
1,0,52.82,4.39,36.31
1,0,51.12,4.13,38.17
1,0,45.22,3.58,34.26
1,0,50.15,2.55,33.79
1,0,52.58,3.66,37.97
1,0,52.31,3.14,34.74
1,0,49.31,3.4,37.72
1,0,45.71,2.37,38.54
1,0,53.23,3.29,41.01
1,0,48.38,3.34,38.29
1,0,43.42,4.22,35.18
1,0,50.11,2.83,37.12
1,0,44.21,3.18,38.53
1,0,46.77,2.9,35.18
1,0,50.44,3.67,37.47
1,0,52.11,3.87,33.21
1,0,51.12,3.27,32.62
1,0,47.8,3.88,31.65
1,0,52.46,3.4,35.55
1,0,47.66,3.38,34.58
1,0,51.12,2.68,34.73
1,0,52.12,2.73,35.7
1,0,51.04,2.42,31.68
1,0,50,3.7,35.8
1,0,46.89,3.36,37.17
1,0,52.11,4.1,33.29
1,0,51.04,3.15,37.76
1,0,50.45,3.46,34.98
1,0,52.27,3.64,34.84
1,0,51.83,3.18,37
1,0,50.84,2.67,34.33
1,0,48.1,4.7,34.62
1,0,49.35,2.57,34.5
1,0,50.5,2.89,38.8
1,0,46.58,4.34,33.38
1,0,48.19,4.18,33.92
1,0,48.81,3.49,33.92
1,0,51.39,3.09,33.95
1,0,54.15,2.95,31.55
1,0,49.75,3.01,34.22
1,0,48.41,3.36,33.82
1,0,53.13,2.69,34.6
1,0,52.9,4.43,38.55
1,0,51.19,3.18,36.1
1,0,49.14,3.8,31.9
1,0,46.25,3.91,37.12
1,0,50.87,2.95,36.39
1,0,49.22,2.79,37.05
1,0.5,50.27,3.66,37.41
1,0.5,53.69,4.47,36.74
1,0.5,57.65,4.16,33.58
1,0.5,51.48,3.5,35.82
1,0.5,49.31,4.44,38.9
1,0.5,54.63,4.7,37.15
1,0.5,52.29,4.67,37.88
1,0.5,48.49,4.66,35.17
1,0.5,53.63,4.97,38.82
1,0.5,48.1,3.35,37.13
1,0.5,49.29,4.51,38.73
1,0.5,51.87,5,36.24
1,0.5,54.81,4.13,37.36
1,0.5,58.77,2.75,38.85
1,0.5,50.1,4.17,38.76
1,0.5,56.23,4.03,36.74
1,0.5,49.58,4.81,36.87
1,0.5,51.47,3.51,37.9
1,0.5,50.53,3.22,37.86
1,0.5,53.92,4.09,38.24
1,0.5,52.56,5.23,39.26
1,0.5,50.81,4.62,36.63
1,0.5,50.91,4.14,40.45
1,0.5,56.6,3.12,38.83
1,0.5,54.01,3.94,38.96
1,0.5,60.57,3.74,37.72
1,0.5,54.9,3,36.12
1,0.5,55.4,3.85,38.59
1,0.5,54.09,4.3,36.61
1,0.5,55.2,3.99,36.93
1,0.5,53.44,4.05,38.57
1,0.5,54.02,4.7,37.84
1,0.5,53.46,3.89,36.56
1,0.5,54.37,4.31,37.99
1,0.5,51.89,4.53,38.17
1,0.5,47.81,4.31,34.37
1,0.5,52.19,3.97,36.15
1,0.5,50.11,3.95,37.02
1,0.5,53.54,4.28,36.05
1,0.5,51.44,4.2,36.76
1,0.5,54.19,4.3,40.31
1,0.5,52.03,3.57,36.53
1,0.5,49.12,4.22,38.81
1,0.5,55.69,4.14,41.15
1,0.5,53,3.39,36.2
1,0.5,56.24,3.37,38.88
1,0.5,52.6,3.39,37.85
1,0.5,50.9,3.37,36.75
1,0.5,57.6,4.34,39.73
1,0.5,53.93,4.5,36.55
1,0.5,51.35,3.96,33.37
1,0.5,54.94,3.65,38.2
1,0.5,53.43,4.07,37.52
1,0.5,48.6,3.66,35.22
1,0.5,53.99,3.27,36.13
1,0.5,56.67,3.85,37.44
1,0.5,50.72,4.83,35.39
1,0.5,48.01,4.05,34.11
1,0.5,54.53,3.73,37.94
1,0.5,52.95,3.78,37.24
1,0.5,53.64,3.69,37.33
1,0.5,51.8,4.67,35.99
1,0.5,53.41,3.83,35.23
1,0.5,47.31,2.88,38.73
1,0.5,55.52,3.63,36.42
1,0.5,52.19,3.25,37.45
1,0.5,48.96,3.61,38.08
1,0.5,54.31,4.27,36.91
1,0.5,48.74,4.28,38.57
1,0.5,49.03,4.09,35.38
1,0.5,55.98,3.53,34.15
1,0.5,54.46,3.91,36.76
1,0.5,53.56,4.14,38.9
1,0.5,54.13,3.01,38.88
1,0.5,49.06,4.25,39.28
1,0.5,51.97,3.39,37.6
1,0.5,56.75,4.21,35.89
1,0.5,51.12,4.54,37.52
1,0.5,51.35,4.37,37.68
1,0.5,54.24,4.57,33.75
1,0.5,52.29,3.89,37.12
1,0.5,50.63,2.85,36.51
1,0.5,47.59,4.05,35.95
1,0.5,54.39,3.16,36.26
1,0.5,52.6,3.64,33.37
1,0.5,53.34,3.6,36.33
1,0.5,59.17,4.07,35.73
1,0.5,52.47,3.62,37.65
1,0.5,53.64,4,36.57
1,0.5,50.36,4.76,34.48
1,0.5,55.83,2.51,36.61
1,0.5,54.62,2.7,37.25
1,0.5,54.41,4.57,35.27
1,0.5,53.79,2.79,36.52
1,0.5,52.32,3.23,35.86
1,0.5,53.79,5.22,36.84
1,0.5,49.75,3.85,36.93
1,0.5,53.69,4.21,37.35
1,0.5,48,3.98,34.21
1,0.5,48.67,5.25,35.59
1,0.5,62.16,3.55,36.03
1,0.5,52.31,3.63,35.77
1,0.5,55.06,3.71,36.56
1,0.5,57.18,4.19,36.72
1,0.5,53.24,3.85,38.55
1,0.5,42.44,4.75,34.44
1,0.5,54.95,4.78,32.13
1,0.5,49.79,3.02,36.29
1,0.5,53.03,4.21,35.61
1,0.5,47.92,4.96,37.45
1,0.5,55.7,2.61,31.1
1,0.5,54.24,4.06,40.15
1,0.5,54.25,4.21,37.54
1,0.5,57.5,4.05,38.39
1,0.5,54.53,2.86,36.62
1,0.5,56,3.38,37.38
1,0.5,60.13,3.62,35.94
1,0.5,52,3.98,35.11
1,0.5,51.13,3.77,37.37
1,0.5,55,3.65,35.19
1,0.5,60.26,3.93,36.7
1,0.5,55.07,3.67,35.73
1,0.5,55.54,4.48,38.13
1,0.5,49.01,2.51,36.26
1,0.5,50.77,3.86,35.29
1,0.5,51.11,4.36,36.31
1,0.5,50.88,3.77,36.6
1,0.5,53.35,4.49,36.36
1,0.5,53.41,4.7,36.27
1,0.5,53.99,4.23,38.73
1,0.5,56.65,4.33,38.93
1,0.5,53.92,4.48,36.84
1,0.5,48.72,3.71,34.99
1,0.5,48.5,3.63,37.88
1,0.5,55.29,2.86,36.06
1,0.5,50.02,3.87,36.11
1,0.5,50.11,4.57,36.47
1,0.5,54.48,4.39,38.17
1,0.5,53.32,4.29,37.77
1,0.5,53.9,5.05,37.84
1,0.5,46.29,4.49,38.2
1,0.5,57.32,3.76,38.31
1,0.5,51.92,3.96,37.43
1,0.5,53.28,4.02,39.58
1,0.5,55.66,4.1,37.76
1,0.5,51.57,3.7,38.9
1,0.5,53.68,3.61,37.03
1,0.5,50.47,4.08,35.74
1,0.5,53.53,3.97,37.48
1,0.5,52.64,4.19,37.25
1,0.5,53.25,3.75,41.1
1,0.5,52.28,3.93,35.77
1,0.5,54.25,4.04,38.33
1,0.5,57.22,4.74,38.55
1,0.5,49.61,4.43,38.71
1,0.5,50.81,3.81,37.55
1,0.5,55.09,3.85,35.36
1,0.5,55.15,4.88,33.28
1,0.5,52.26,3.98,36.81
1,0.5,45.64,5.09,36.47
1,0.5,52.52,5.12,36.94
1,0.5,53.34,4.39,33.83
1,0.5,54.56,3.17,38.28
1,0.5,49.16,4.05,38.73
1,0.5,54.29,3.72,36.69
1,0.5,51.22,3.97,34.59
1,0.5,52.45,3.64,36.31
1,0.5,52.73,4.05,36.29
1,0.5,55.38,4.01,37.2
1,0.5,53.22,4.3,35.94
1,0.5,51.76,4.03,38.43
1,0.5,48.43,4.23,38.55
1,0.5,48.41,4.06,37.24
1,0.5,53.93,3.82,36.91
1,0.5,52.29,3.94,35.92
1,0.5,53.2,4.56,35.04
1,0.5,52.47,4.12,36.27
1,0.5,53.85,3.84,38.2
1,0.5,51.44,4.13,35.93
1,0.5,51.66,3.47,33.61
1,0.5,51.04,3.04,38.13
1,0.5,53.47,4.1,36.35
1,0.5,54.88,4.2,38.44
1,0.5,51.67,3.89,34.05
1,0.5,53.52,4.8,37.78
1,0.5,54.24,3.15,39.09
1,0.5,55.92,4.71,36.13
1,0.5,54.71,3.38,33.96
1,0.5,49.9,4.01,35.46
1,0.5,50.4,3.56,38.54
1,0.5,51.72,3.31,35.88
1,0.5,53.68,4.7,40.12
1,0.5,50.64,4.32,36.41
1,0.5,52.84,4.87,37.98
1,0.5,53.8,3.28,36.82
1,0.5,53.96,3.74,38.9
1,0.5,52.69,4.15,38.6
1,0.5,46.39,3.84,34.78
1,0.5,51.04,3.6,38.66
1,0.5,47.52,4.3,35.28
1,0.5,57.85,4.2,38.37
1,0.5,50.02,3.14,35.9
1,0.5,54.28,3.36,37.73
1,0.5,50.03,3.68,35.81
1,0.5,53.58,4.55,37.28
1,0.5,55.87,4.56,38.71
1,0.5,52.29,3.94,37.18
1,0.5,48.81,3.34,38.71
1,0.5,50.54,4.12,36.18
1,0.5,53.25,3.87,34.52
1,0.5,52.08,4.38,36.39
1,0.5,51.1,4.22,38.12
1,0.5,50.44,4.66,41.52
1,0.5,52.59,4.75,40.17
1,0.5,53.97,4.3,39.45
1,0.5,52.57,4.23,38.99
1,0.5,49.98,3.27,34.35
1,0.5,55.65,3.99,39.54
1,0.5,56.81,4.23,36.67
1,0.5,53.71,2.89,35.69
1,0.5,55.32,3.87,32.02
1,0.5,53.76,4.32,35.55
1,0.5,53.85,4.31,39.79
1,0.5,53.43,5.07,40.71
1,0.5,50.84,3.35,34.55
1,0.5,52.44,3.82,37.98
1,0.5,51.43,4.6,38.86
1,0.5,57.35,3.88,37.69
1,0.5,50.24,5.2,35.49
1,0.5,55.97,5.1,40.31
1,0.5,52.1,3.43,36.28
